Last_Name,Name,School,Researcher,Home_Dept,Areas_Expertise,Sub_Headings,Start_Year,Depart_Year
MacDonald,Andrew MacDonald, UCSB,Andrew MacDonald UCSB,ERI,"Disease ecologist focused on coupled natural-human system feedbacks and land use change as drivers of mosquito-borne disease, with an emphasis on malaria in the Amazon basin",,,
Maritorena,Stéphane Maritorena, UCSB,Stéphane Maritorena UCSB,ERI,"Marine optics, bio-optical modeling, ocean color algorithm development and remote sensing",,,
Mayes,Marc Mayes, UCSB,Marc Mayes UCSB,ERI,"Land use and climate change effects on terrestrial ecosystems, including carbon, nutrient and water cycling, with a focus on semi-arid developing landscapes in sub-Saharan Africa",,,
Means,Jay Means, UCSB,Jay Means UCSB,ERI,"Trace analytical chemistry, environmental chemistry, and environmental toxicology",,,
Michaelides,Katrina Michaelides, UCSB,Katerina Michaelides University of Bristol,ERI,Surface water flow generation and its interaction with the land surface,,,
Miller,Robert Miller, UCSB,Robert Miller UCSB,MSI and ERI,Benthic subtidal ecology; community ecology; primary producers in marine ecosystems,,,
Molinari,Nicole Molinari, UCSB,Nicole Molinari UCSB,EEMB,Controls of species diversity,,,
Molotch,Noah Molotch, UCSB,Noah Molotch University of Colorado,ERI,Surface water and snow hydrology; remote sensing; ecohydrology,,,
Moritz,Max Moritz, UCSB,Max Moritz UCSB,UC ANR,Understanding the dynamics of fire regimes at relatively broad scales and applying this information in ecosystem management,,,
Myers,Jan Myers, UCSB,Jan Myers UCSB,CCBER,K-12 Education,,,
Nelso,Norman Nelson, UCSB,Norman Nelson UCSB,ERI,"Ocean optics – cycling of organic matter in the ocean, primary productivity, UV photochemistry and photobiology, ocean color remote sensing, and planktonic community structure",,,
Niemeyer,Ryan Niemeyer, UCSB,Ryan Niemeyer UCSB,ERI,Impacts of forest thinning in the dry forests of the Pacific Northwest on streamflow and tree-drought resilience,,,
Norris,Jesse Norris, UCSB,Jesse Norris UCSB,,"Precipitation, climatology, meteorology, climate dynamics, numerical modeling, atmospheric science, climate change.",,,
Ohlmann,J. Carter Ohlmann, UCSB,Carter Ohlmann UCSB,ERI and MSI,"Physical oceanography – Lagrangian methods, coastal oceanography ",,,
Passow,Uta Passow, UCSB,Uta Passow UCSB,MSI and ERI,"Function of the biological carbon pumps and the
drivers of carbon cycling in the ocean",,,
Portnykh,Margarita Portnykh, UCSB,Margarita Portnykh UCSB,ERI,"Intersection of Environmental and Natural Resource Economics, and Health Economics.",,,
Reed,Daniel Reed, UCSB,Daniel Reed UCSB,MSI,Ecology of coastal marine ecosystems ,,,
Riedman,Leigh Ann Riedman, UCSB,Leigh Ann Riedman UCSB,ERI,Neoproterozoic Paleontology,,,
